record_date,channel_name,agent_name,response_seconds,score,issue_type,solved_flag,note
2026-05-29 11:28:00,电话客服,坐席08,98,61,投诉建议,是,转其他部门处理
2026-06-12 09:23:00,微信客服,坐席06,12,81,订单查询,是,
2026-06-08 18:58:00,在线客服,坐席12,27,100,产品咨询,是,需要主管介入
2026-06-10 14:20:00,在线客服,坐席02,171s,79,产品咨询,是,客户情绪较激动
2026-05-18 19:06:00,APP客服,坐席08,21,68,技术支持,是,转其他部门处理
2026-05-19 09:25:00,在线客服,坐席10,157,77,物流问题,是,
2026-05-30 12:15:00,APP客服,坐席15,95,73,投诉建议,是,客户对解释满意
2026-04-29 15:00:00,电话客服,坐席08,183,87,技术支持,否,
2026-05-29 17:40:00,邮件客服,坐席09,90,79,会员服务,是,
2026-04-21 10:36:00,邮件客服,坐席03,192,73,账户问题,是,
2026-06-19 20:50:00,电话客服,坐席07,23,93,账户问题,是,需要主管介入
2026-05-22 14:58:00,APP客服,坐席12,59,82,订单查询,是,客户情绪较激动
2026-05-10 21:10:00,在线客服,坐席07,26,待评分,产品咨询,是,客户对解释满意
2026-04-26 15:26:00,在线客服,坐席05,8,88,账户问题,是,客户情绪较激动
2026-06-08 21:48:00,电话客服,坐席12,72,73,物流问题,是,转其他部门处理
2026-05-13 12:31:00,邮件客服,坐席03,23,87,物流问题,是,客户对解释满意
2026-05-01 15:58:00,电话客服,坐席06,38,81,会员服务,是,转其他部门处理
2026-05-06 20:02:00,在线客服,坐席11,1,85,产品咨询,是,
2026-05-23 15:38:00,邮件客服,坐席01,63,78,退款申请,是,
2026-04-22 08:47:00,邮件客服,坐席05,578,73,投诉建议,是,客户情绪较激动
2026-05-14 13:55:00,微信客服,坐席04,165,90,退款申请,是,需要主管介入
2026-05-08 21:17:00,在线客服,坐席03,312,待评分,会员服务,是,建议优化流程
2026-04-28 14:02:00,APP客服,坐席01,6,66,会员服务,是,
2026-05-24 12:29:00,APP客服,坐席15,120,73,会员服务,是,建议优化流程
2026-05-07 19:27:00,在线客服,坐席14,232,79,投诉建议,否,需要主管介入
2026-05-22 14:32:00,在线客服,坐席02,30,59,账户问题,是,建议优化流程
2026-06-06 13:22:00,电话客服,坐席11,126,92,订单查询,是,
2026-06-09 16:23:00,邮件客服,坐席10,188,95,技术支持,是,
2026-05-13 19:33:00,电话客服,坐席07,4,100,技术支持,是,
2026-04-26 13:42:00,电话客服,坐席01,88,60,会员服务,否,建议优化流程
2026-06-11 21:46:00,APP客服,坐席08,9,81,产品咨询,是,需要主管介入
2026-05-13 16:11:00,在线客服,坐席10,10,76,订单查询,否,需要主管介入
2026-04-21 20:38:00,APP客服,坐席05,79,83,物流问题,是,需要主管介入
2026-06-06 08:29:00,微信客服,坐席04,69,65,投诉建议,是,转其他部门处理
2026-05-20 12:22:00,电话客服,坐席06,235,72,投诉建议,是,
2026-05-18 18:19:00,在线客服,坐席02,62,91,退款申请,是,
2026-05-23 15:09:00,电话客服,坐席13,26,67,投诉建议,否,
2026-04-30 17:33:00,电话客服,坐席07,71,81,产品咨询,是,需要主管介入
2026-06-20 16:35:00,电话客服,坐席09,99,82,会员服务,否,客户情绪较激动
2026-06-08 14:12:00,APP客服,坐席03,28,83,账户问题,否,
2026-05-09 08:35:00,电话客服,坐席09,6,86,退款申请,否,需要主管介入
2026-05-25 19:24:00,在线客服,坐席05,175,80,产品咨询,是,客户对解释满意
2026-05-04 17:04:00,APP客服,坐席13,73,83,退款申请,是,
2026-05-17 17:01:00,电话客服,坐席05,259,83,物流问题,是,需要主管介入
2026-04-24 11:05:00,APP客服,坐席03,51,60,投诉建议,是,客户情绪较激动
2026-06-17 11:27:00,微信客服,坐席15,82,92,账户问题,是,
2026-05-15 15:32:00,电话客服,坐席06,1,83,订单查询,是,
2026-05-08 16:48:00,APP客服,坐席15,59,94,账户问题,是,
2026-05-22 15:37:00,在线客服,坐席12,35,70,投诉建议,是,客户情绪较激动
2026-05-17 13:16:00,电话客服,坐席05,55,66,产品咨询,是,
2026-04-25 16:01:00,电话客服,坐席14,48,78,订单查询,是,需要主管介入
2026-05-16 16:21:00,微信客服,坐席01,7,58分,投诉建议,否,建议优化流程
2026-06-14 13:27:00,微信客服,坐席15,615,84,投诉建议,是,转其他部门处理
2026-04-21 10:44:00,APP客服,坐席14,67,86,账户问题,是,
2026-05-24 13:53:00,微信客服,坐席02,102,87,产品咨询,是,
2026-06-10 14:37:00,APP客服,坐席02,56,98,物流问题,是,客户情绪较激动
2026-06-16 13:32:00,微信客服,坐席12,58,62,物流问题,否,转其他部门处理
2026-06-02 18:47:00,在线客服,坐席15,37,81,账户问题,是,建议优化流程
2026-04-24 15:24:00,微信客服,坐席03,66,77分,退款申请,是,
2026-06-20 13:20:00,在线客服,坐席05,26,76,账户问题,是,
2026-05-16 16:46:00,APP客服,坐席15,124,92,会员服务,是,客户情绪较激动
2026-05-13 21:23:00,APP客服,坐席10,10,75,物流问题,是,客户对解释满意
2026-06-19 20:17:00,在线客服,坐席03,17,73分,退款申请,是,转其他部门处理
2026-06-03 16:16:00,在线客服,坐席09,26,65,产品咨询,是,客户对解释满意
2026-04-28 15:48:00,在线客服,坐席10,25,85,账户问题,是,
2026-06-12 13:20:00,电话客服,坐席07,11,92,会员服务,是,客户对解释满意
2026-04-23 10:30:00,在线客服,坐席04,7,87,会员服务,是,转其他部门处理
2026-06-16 09:14:00,在线客服,坐席10,109,81,退款申请,是,
2026-05-10 08:11:00,电话客服,坐席10,20,68,物流问题,是,建议优化流程
2026-04-30 12:22:00,在线客服,坐席02,125s,75,投诉建议,是,
2026-05-05 15:37:00,在线客服,坐席14,286,86,技术支持,是,建议优化流程
2026-05-19 15:10:00,微信客服,坐席14,11,75,产品咨询,是,转其他部门处理
2026-04-24 16:44:00,在线客服,坐席02,36,89,会员服务,是,
2026-05-07 08:46:00,在线客服,坐席14,256,76,投诉建议,是,建议优化流程
2026-06-01 11:14:00,微信客服,坐席01,81,92,产品咨询,是,
2026-04-25 18:09:00,在线客服,坐席06,13,84,投诉建议,否,建议优化流程
2026-04-25 20:46:00,在线客服,坐席13,1,98,订单查询,是,建议优化流程
2026-05-28 13:07:00,在线客服,坐席10,57,100,物流问题,是,客户对解释满意
2026-05-30 19:42:00,邮件客服,坐席04,179,85,会员服务,是,需要主管介入
2026-05-04 15:40:00,邮件客服,坐席07,18,87,账户问题,是,
2026-06-13 14:50:00,在线客服,坐席05,6,95分,技术支持,是,
2026-05-16 18:37:00,在线客服,坐席02,80,75,退款申请,是,转其他部门处理
2026-05-14 16:06:00,电话客服,坐席05,22,73,会员服务,是,客户情绪较激动
2026-05-31 08:19:00,在线客服,坐席12,623,87,技术支持,是,
2026-06-15 10:31:00,在线客服,坐席01,51,76,投诉建议,是,
2026-06-09 21:37:00,微信客服,坐席04,24,96,账户问题,是,转其他部门处理
2026-05-24 19:32:00,电话客服,坐席12,76,81,会员服务,否,建议优化流程
2026-06-13 16:46:00,在线客服,坐席03,49,82,账户问题,是,建议优化流程
2026-04-24 11:36:00,电话客服,坐席14,42,85,技术支持,是,客户情绪较激动
2026-05-19 19:17:00,微信客服,坐席15,45,63,投诉建议,是,客户情绪较激动
2026-04-25 12:37:00,微信客服,坐席09,118,78,订单查询,是,
2026-06-10 08:13:00,APP客服,坐席02,56,75,投诉建议,是,
2026-05-19 20:33:00,电话客服,坐席11,147,84,物流问题,是,客户情绪较激动
2026-05-13 12:41:00,电话客服,坐席11,19,70,账户问题,否,客户对解释满意
2026-04-30 20:16:00,在线客服,坐席12,44,78,物流问题,是,建议优化流程
2026-05-26 08:58:00,电话客服,坐席03,39,84,物流问题,是,
2026-05-26 11:18:00,在线客服,坐席11,41,62,账户问题,是,
2026-05-15 20:42:00,在线客服,坐席09,9,待评分,技术支持,是,客户情绪较激动
2026-05-09 12:43:00,微信客服,坐席01,169,75,投诉建议,否,
2026-05-13 12:53:00,APP客服,坐席08,140,100,账户问题,是,客户对解释满意
2026-05-22 17:15:00,邮件客服,坐席07,126,69,订单查询,是,客户对解释满意
2026-05-20 11:38:00,在线客服,坐席11,62,95,订单查询,否,
2026-04-23 12:42:00,在线客服,坐席07,7,87,技术支持,否,
2026-06-03 21:01:00,电话客服,坐席10,1,59,订单查询,是,
2026-05-29 21:51:00,电话客服,坐席01,4,100,投诉建议,是,需要主管介入
2026-04-21 21:48:00,电话客服,坐席14,20,74,会员服务,是,需要主管介入
2026-06-05 16:14:00,在线客服,坐席08,15,80,产品咨询,否,
2026-05-15 14:51:00,电话客服,坐席08,109,72,产品咨询,是,
2026-06-16 17:40:00,电话客服,坐席03,26,99,会员服务,否,建议优化流程
2026-06-20 16:08:00,微信客服,坐席05,37,75,订单查询,是,
2026-05-24 19:41:00,微信客服,坐席08,48,80,账户问题,是,
2026-04-26 12:59:00,电话客服,坐席12,515,57,投诉建议,是,
2026-04-23 15:39:00,APP客服,坐席11,34,75,投诉建议,是,需要主管介入
2026-06-02 20:24:00,邮件客服,坐席04,324,82,技术支持,是,
2026-05-21 14:41:00,电话客服,坐席11,147s,76,投诉建议,否,转其他部门处理
2026-05-17 08:40:00,APP客服,坐席15,60,77,订单查询,是,
